"","Date_time","ï..Note.x","Theme","Sentiment","X_coord","Y_coord","hr"
"1","2019-12-04 13:58","There are some bikes moving very quickly here","Traffic","Negative",-0.126369953155518,51.5248210430145,130
"2","2019-12-04 13:59","This park looks very peaceful","Nature","Positive ",-0.127435445785522,51.5248848199844,129
"3","2019-12-04 19:11","Still haven't gotten the hang of looking a different way when crossing the street","Traffic","Negative",-0.132395386695862,51.523304104805,124
"4","2019-12-04 19:15","It's nice not to see any cars in here","Traffic","Positive ",-0.132395386695862,51.523304104805,124
"5","2019-12-05 11:31","Almost didn't see that car coming around the corner ","Traffic","Negative",-0.124946713447571,51.5248959064484,140
"6","2019-12-05 18:52","The pedestrian scale of this street is really comfortable","Visuals","Positive ",-0.118438124656677,51.5240522623062,109
"7","2019-12-05 18:58","This intersection always confuses me","Traffic","Negative",-0.119486212730408,51.5201587677002,152
"8","2019-12-05 19:06","Lot's of construction in here and I'm not really sure where to go","Other","Negative",-0.126351356506348,51.5158395767212,119
"9","2019-12-05 19:10","Lot's of nice Christmas lights along here.","Visuals","Positive ",-0.127007365226746,51.513102889061,131
"10","2019-12-05 23:18","It's relaxing to be able to see the water","Visuals","Positive ",-0.121248722076416,51.5079090595245,118
"11","2019-12-05 23:29","Not very crowded in here today","People","Positive ",-0.112406492233276,51.5108553171158,134
"12","2019-12-05 23:34","A big, loud crowd coming out of a bar here. ","People","Negative",-0.107931733131409,51.5119347572327,125
"13","2019-12-05 23:51","Almost missed the street light there","Traffic","Negative",-0.113698363304138,51.5220685005188,128
"14","2019-12-09 12:50","Would love to be able to sit in the park for a bit. ","Nature","Positive ",-0.129375576972961,51.5241153240204,111
"15","2019-12-09 15:47","Very peaceful to walk through the park","Nature","Positive ",-0.12847900390625,51.5246136188507,116
"16","2019-12-09 15:49","Had to dodge some oblivious pedestrians ","People","Negative",-0.129236817359924,51.5258417129517,137
"17","2019-12-09 17:16","I wonder if that siren is coming this way","Noise","Negative",-0.12701427936554,51.5251641273499,120
"18","2019-12-09 17:27","Just had to dodge a scooter on the sidewalk","Traffic","Negative",-0.118997573852539,51.5237905979156,141
"19","2019-12-10 13:32","I love when I can walk through this park","Nature","Positive ",-0.130467653274536,51.5240595340729,92
"20","2019-12-10 18:47","Wow the cars really don't slow down here","Traffic","Negative",-0.126995801925659,51.5252323150635,122
"21","2019-12-10 9:03","I can hear an alarm going off somewhere","Noise","Negative",-0.12532651424408,51.5237050056458,131
"22","2019-12-11 17:22","Wow, very crowded sidewalk. ","People","Negative",-0.129677057266235,51.5238572359085,116
"23","2019-12-11 17:23","Got stuck in the middle of the intersection. ","Traffic","Negative",-0.12888777256012,51.524179816246,119
"24","2019-12-11 17:28","This street is my favourite part of my walk to campus","Other","Positive ",-0.125108122825623,51.5249779224396,120
"25","2019-12-11 17:30","The Christmas lights along here look pretty. ","Visuals","Positive ",-0.124276161193848,51.5234582424164,121
"26","2019-12-11 17:32","Tried to cross the street but I didn't see that car coming. ","Traffic","Negative",-0.121943950653076,51.5237590074539,125
"27","2019-12-11 17:33","I think this is the area where people have reported getting harassed.","Danger","Negative",-0.120900869369507,51.5239086151123,159
"28","2019-12-12 15:06","Almost ran into someone there who was coming out of a store","People","Negative",-0.12047803401947,51.5300806760788,157
"29","2019-12-12 15:22","It's easy to forget that you are in the middle of a huge city when walking along this canal","Nature","Positive ",-0.119601130485535,51.5351696014404,121
"30","2019-12-12 15:23","These houseboats make everything look so idyllic","Visuals","Positive ",-0.120644092559814,51.5353944301605,123
"31","2019-12-12 17:03","The crowds outside the train station are tricky to navigate through","People","Negative",-0.12449049949646,51.5309307575226,142
"32","2019-12-12 17:05","I'm running late and I can't believe how long this light takes","Traffic","Negative",-0.122733235359192,51.5307749509811,148
"33","2019-12-12 17:08","Some of the restaurants along here look really cosy","Visuals","Positive ",-0.120582580566406,51.5297819375992,130
"34","2019-12-13 13:43","Everyone says not to take this tight alleyway, but I hope that it's ok in the day time ","Danger","Negative",-0.118696093559265,51.5258079767227,129
"35","2019-12-13 13:47","I love how quiet this street is","Noise","Positive ",-0.123443841934204,51.5253921747208,129
"36","2019-12-13 13:52","I always get stuck in the middle of the intersection on this street. ","Traffic","Negative",-0.127800107002258,51.5247447490692,120
