Note,Date_time,Theme,Sentiment
"Wow, very crowded sidewalk. ",2019-12-11 17:22,People,Negative
Got stuck in the middle of the intersection. ,2019-12-11 17:23,Traffic,Negative
Tried to cross the street but I didn't see that car coming. ,2019-12-11 17:32,Traffic,Negative
I think this is the area where people have reported getting harassed.,2019-12-11 17:33,Danger,Negative
I always get stuck in the middle of the intersection on this street. ,2019-12-13 13:52,Traffic,Negative
There are some bikes moving very quickly here,2019-12-04 13:58,Traffic,Negative
Still haven't gotten the hang of looking a different way when crossing the street,2019-12-04 19:11,Traffic,Negative
Almost didn't see that car coming around the corner ,2019-12-05 11:31,Traffic,Negative
This intersection always confuses me,2019-12-05 18:58,Traffic,Negative
Lot's of construction in here and I'm not really sure where to go,2019-12-05 19:06,Other,Negative
"A big, loud crowd coming out of a bar here. ",2019-12-05 23:34,People,Negative
Almost missed the street light there,2019-12-05 23:51,Traffic,Negative
Had to dodge some oblivious pedestrians ,2019-12-09 15:49,People,Negative
Just had to dodge a scooter on the sidewalk,2019-12-09 17:27,Traffic,Negative
I wonder if that siren is coming this way,2019-12-09 17:16,Noise,Negative
I can hear an alarm going off somewhere,2019-12-10 9:03,Noise,Negative
Wow the cars really don't slow down here,2019-12-10 18:47,Traffic,Negative
Almost ran into someone there who was coming out of a store,2019-12-12 15:06,People,Negative
The crowds outside the train station are tricky to navigate through,2019-12-12 17:03,People,Negative
I'm running late and I can't believe how long this light takes,2019-12-12 17:05,Traffic,Negative
"Everyone says not to take this tight alleyway, but I hope that it's ok in the day time ",2019-12-13 13:43,Danger,Negative
The Christmas lights along here look pretty. ,2019-12-11 17:30,Visuals,Positive 
I love how quiet this street is,2019-12-13 13:47,Noise,Positive 
This park looks very peaceful,2019-12-04 13:59,Nature,Positive 
It's nice not to see any cars in here,2019-12-04 19:15,Traffic,Positive 
Not very crowded in here today,2019-12-05 23:29,People,Positive 
The pedestrian scale of this street is really comfortable,2019-12-05 18:52,Visuals,Positive 
Lot's of nice Christmas lights along here.,2019-12-05 19:10,Visuals,Positive 
It's relaxing to be able to see the water,2019-12-05 23:18,Visuals,Positive 
Would love to be able to sit in the park for a bit. ,2019-12-09 12:50,Nature,Positive 
Very peaceful to walk through the park,2019-12-09 15:47,Nature,Positive 
I love when I can walk through this park,2019-12-10 13:32,Nature,Positive 
This street is my favourite part of my walk to campus,2019-12-11 17:28,Other,Positive 
It's easy to forget that you are in the middle of a huge city when walking along this canal,2019-12-12 15:22,Nature,Positive 
These houseboats make everything look so idyllic,2019-12-12 15:23,Visuals,Positive 
Some of the restaurants along here look really cosy,2019-12-12 17:08,Visuals,Positive 
